 epoch   loss_main    loss_mul        runtime(s)
     0   26.479586    0.461717      8.5099
    10   67.912837    0.221333     20.1576
    20   31.639979    0.005524     31.8625
    30   22.066225    0.000403     43.6565
    40   22.127118    0.000374     55.4187
    50   22.513792    0.000374     67.1914
    60   22.280959    0.000483     78.9699
    70   22.694412    0.000409     90.8007
    80   22.727625    0.000444    102.6194
    90   22.951626    0.000382    114.4462
   100   21.548865    0.000122    126.2659
   110   19.644124    0.000019    138.1709
   120   19.578110    0.000015    150.0983
   130   19.536472    0.000014    161.9770
   140   19.524889    0.000014    173.8506
   150   19.496755    0.000011    185.7352
   160   19.514276    0.000011    197.6258
   170   19.535861    0.000012    209.5419
   180   19.573099    0.000010    221.4229
   190   19.514806    0.000010    233.3096
   200   19.412127    0.000006    245.2352
   210   19.318081    0.000006    257.1970
   220   19.304607    0.000006    269.1538
   230   19.290065    0.000005    281.1236
   240   19.327486    0.000005    293.0958
   250   19.314523    0.000005    305.0707
   260   19.290666    0.000005    317.0692
   270   19.335033    0.000005    329.1316
   280   19.310821    0.000004    341.3090
   290   19.330181    0.000005    353.4293
   300   19.318360    0.000005    365.5568
   310   19.323496    0.000005    377.6946
   320   19.330723    0.000004    389.8843
   330   19.327656    0.000004    402.0438
   340   19.323073    0.000005    414.2132
   350   19.317910    0.000004    426.4062
   360   19.337105    0.000004    438.7508
   370   19.318993    0.000005    451.1287
   380   19.329002    0.000003    463.3783
   390   19.297407    0.000004    475.9136
   400   19.292467    0.000003    488.2769
   410   19.292987    0.000004    500.6738
   420   19.299371    0.000003    513.0913
   430   19.267624    0.000003    525.5827
   440   19.289142    0.000004    537.9741
   450   19.275766    0.000003    550.3627
   460   19.305484    0.000003    562.7378
   470   19.309554    0.000003    575.1397
   480   19.242066    0.000003    587.5148
   490   19.241971    0.000003    599.9067
   500   19.237397    0.000003    612.5253
   510   19.206182    0.000002    625.2818
   520   19.257732    0.000003    639.4026
   530   19.257926    0.000003    653.5707
   540   19.234783    0.000003    667.6350
   550   19.229011    0.000003    681.5849
   560   19.494393    0.000012    695.4796
   570   19.193483    0.000007    709.2696
   580   19.675549    0.000009    723.0157
   590   19.601769    0.000007    736.7136
   600   19.567054    0.000007    750.3638
   610   19.541455    0.000006    763.9540
   620   19.529218    0.000006    777.5613
   630   19.514907    0.000006    791.1249
   640   19.525437    0.000006    804.6736
   650   19.501529    0.000005    818.1701
   660   19.498614    0.000005    831.6490
   670   19.483416    0.000005    845.1540
   680   19.482176    0.000005    858.6295
   690   19.269583    0.000018    872.0477
   700   19.756188    0.000015    885.4139
   710   19.664785    0.000012    898.7786
   720   19.611272    0.000010    912.1678
   730   19.574334    0.000009    925.5306
   740   19.551633    0.000009    938.8870
   750   19.537947    0.000008    952.2451
   760   19.517810    0.000008    965.5833
   770   19.510490    0.000007    978.9306
   780   19.511174    0.000007    992.2784
   790   19.504456    0.000007   1005.6290
   800   19.496891    0.000006   1019.0028
   810   19.499951    0.000006   1032.4056
   820   19.495265    0.000006   1045.7293
   830   19.503787    0.000006   1059.0619
   840   19.476671    0.000006   1072.3723
   850   19.761365    0.000008   1085.6965
   860   19.986554    0.000011   1099.0250
   870   19.841217    0.000009   1112.4223
   880   19.765728    0.000007   1125.8025
   890   19.743308    0.000007   1139.1022
   900   19.705068    0.000006   1152.3849
   910   19.684458    0.000006   1165.6670
   920   19.666927    0.000005   1178.9468
   930   19.670518    0.000005   1192.3069
   940   19.655440    0.000005   1205.5736
   950   19.651533    0.000005   1218.8586
   960   19.643121    0.000005   1232.1385
   970   19.652231    0.000004   1245.4147
   980   19.643475    0.000004   1258.7135
   990   19.649580    0.000004   1272.1069
